Subfamily,Genus,Species,male_ultrastructure_dorsal,female_ultrastructure_dorsal,mutual,Tribe
Coliadinae,Abaeis,Abaeis_nicippiformis,0,0,0,NA
Coliadinae,Anteos,Anteos_clorinde,1,1,2,NA
Coliadinae,Anteos,Anteos_maerula,0,0,0,NA
Coliadinae,Anteos,Anteos_menippe,1,1,2,NA
Coliadinae,Aphrissa,Aphrissa_boisduvalii,0,0,0,NA
Coliadinae,Aphrissa,Aphrissa_fluminensis,0,0,0,NA
Coliadinae,Aphrissa,Aphrissa_neleis,1,0,1,NA
Coliadinae,Aphrissa,Aphrissa_orbis,1,0,1,NA
Coliadinae,Aphrissa,Aphrissa_schausi,0,0,0,NA
Coliadinae,Aphrissa,Aphrissa_statira,1,1,2,NA
Coliadinae,Catopsilia,Catopsilia_florella,0,0,0,NA
Coliadinae,Catopsilia,Catopsilia_pomona,0,0,0,NA
Coliadinae,Catopsilia,Catopsilia_pyranthe,0,0,0,NA
Coliadinae,Catopsilia,Catopsilia_scylla,0,0,0,NA
Coliadinae,Catopsilia,Catopsilia_thauruma,0,0,0,NA
Coliadinae,Colias,Colias_adelaidae,1,1,2,NA
Coliadinae,Colias,Colias_alexandra,1,0,1,NA
Coliadinae,Colias,Colias_alpherakii,0,0,0,NA
Coliadinae,Colias,Colias_arida,1,0,1,NA
Coliadinae,Colias,Colias_aurora,1,0,1,NA
Coliadinae,Colias,Colias_aurorina,1,1,2,NA
Coliadinae,Colias,Colias_australis,0,0,0,NA
Coliadinae,Colias,Colias_balcanica,1,1,2,NA
Coliadinae,Colias,Colias_boothii,1,1,2,NA
Coliadinae,Colias,Colias_caucasica,1,1,2,NA
Coliadinae,Colias,Colias_chippewa,0,0,0,NA
Coliadinae,Colias,Colias_chlorocoma,0,0,0,NA
Coliadinae,Colias,Colias_christina,1,0,1,NA
Coliadinae,Colias,Colias_christophi,1,1,2,NA
Coliadinae,Colias,Colias_chrysotheme,1,1,2,NA
Coliadinae,Colias,Colias_cocandica,0,0,0,NA
Coliadinae,Colias,Colias_croceus,1,0,1,NA
Coliadinae,Colias,Colias_dimera,1,0,1,NA
Coliadinae,Colias,Colias_diva,1,1,2,NA
